date,code,buy_price,close_price,daily_ret_pct,pnl_pct,action
2026-01-05,603601,10.7,12.99,2.32,16.54,
2026-01-05,002163,22.66,21.46,2.32,5.21,
2026-01-05,002149,40.01,46.03,2.32,13.75,
2026-01-05,002969,7.35,13.7,2.32,72.24,
2026-01-05,603278,17.03,16.1,2.32,0.06,
2026-01-06,002347,,13.42,7.86,,
2026-01-06,603601,10.7,13.53,7.86,21.4,
2026-01-06,002931,,38.36,7.86,,
2026-01-06,002969,7.35,15.07,7.86,86.39,
2026-01-06,603278,17.03,16.54,7.86,-5.46,
2026-01-06,002163,22.66,21.46,7.86,-5.3,SELL
2026-01-06,002149,40.01,46.03,7.86,15.05,SELL
2026-01-07,002347,12.41,12.71,2.01,8.14,
2026-01-07,002413,,16.71,2.01,,
2026-01-07,002931,38.36,42.2,2.01,,
2026-01-07,002969,7.35,,2.01,105.03,
2026-01-07,603278,17.03,16.5,2.01,-2.88,
2026-01-07,603601,10.7,13.53,2.01,26.45,SELL
2026-01-08,002347,12.41,13.49,3.33,2.42,
2026-01-08,002718,,49.18,3.33,,
2026-01-08,002413,15.8,17.69,3.33,5.76,
2026-01-08,002931,38.36,46.42,3.33,10.01,
2026-01-08,603278,17.03,16.9,3.33,-3.11,
2026-01-08,002969,7.35,,3.33,,SELL
2026-01-09,002324,,22.8,-1.43,,
2026-01-09,002347,12.41,13.19,-1.43,8.7,
2026-01-09,002413,15.8,18.3,-1.43,11.96,
2026-01-09,002931,38.36,51.06,-1.43,21.01,
2026-01-09,603278,17.03,16.11,-1.43,-0.76,
2026-01-09,002718,48.7,49.18,-1.43,0.99,SELL
2026-01-12,002347,12.41,13.72,7.49,6.29,
2026-01-12,002173,,36.99,7.49,,
2026-01-12,002413,15.8,20.13,7.49,15.82,
2026-01-12,603278,17.03,17.72,7.49,-5.4,
2026-01-12,002931,38.36,51.06,7.49,33.11,SELL
2026-01-12,002324,25.0,22.8,7.49,-8.8,SELL
2026-01-13,603698,,43.47,-9.77,,
2026-01-13,002519,,10.42,-9.77,,
2026-01-13,002413,15.8,18.12,-9.77,27.41,
2026-01-13,002969,,17.55,-9.77,,
2026-01-13,603278,17.03,15.95,-9.77,4.05,
2026-01-13,002173,35.4,36.99,-9.77,4.49,SELL
2026-01-13,002347,12.41,13.72,-9.77,10.56,SELL
2026-01-14,002342,,14.0,3.09,,
2026-01-14,603598,,32.4,3.09,,
2026-01-14,002173,,33.4,3.09,,
2026-01-14,002969,18.24,19.31,3.09,-3.78,
2026-01-14,002519,12.62,10.42,3.09,-17.43,SELL
2026-01-14,002413,15.8,18.12,3.09,14.68,SELL
2026-01-14,603698,46.5,43.47,3.09,-6.52,SELL
2026-01-14,603278,17.03,15.95,3.09,-6.34,SELL
2026-01-15,603598,30.22,31.51,-2.64,7.21,
2026-01-15,002173,34.76,31.8,-2.64,-3.91,
2026-01-15,002519,,10.31,-2.64,,
2026-01-15,002115,,19.54,-2.64,,
2026-01-15,002969,18.24,17.38,-2.64,5.87,
2026-01-15,002342,13.0,14.0,-2.64,7.69,SELL
2026-01-16,000593,,16.45,-3.63,,
2026-01-16,603598,30.22,28.36,-3.63,4.27,
2026-01-16,002115,21.0,17.59,-3.63,-6.95,
2026-01-16,000859,,12.11,-3.63,,
2026-01-16,002519,10.41,10.31,-3.63,-0.96,SELL
2026-01-16,002173,34.76,31.8,-3.63,-8.52,SELL
2026-01-16,002969,18.24,17.38,-3.63,-4.71,SELL
2026-01-19,002009,,22.68,5.49,,
2026-01-19,002173,,29.35,5.49,,
2026-01-19,002046,,47.15,5.49,,
2026-01-19,002112,,21.97,5.49,,
2026-01-19,000859,12.7,12.26,5.49,-4.65,
2026-01-19,000593,18.09,16.45,5.49,-9.07,SELL
2026-01-19,603598,30.22,28.36,5.49,-6.15,SELL
2026-01-19,002115,21.0,17.59,5.49,-16.24,SELL
2026-01-20,300129,,15.04,0.71,,
2026-01-20,002173,29.68,28.41,0.71,-1.11,
2026-01-20,002112,17.97,22.9,0.71,22.26,
2026-01-20,300291,,9.83,0.71,,
2026-01-20,002181,,11.19,0.71,,
2026-01-20,002009,21.8,22.68,0.71,4.04,SELL
2026-01-20,002046,46.73,47.15,0.71,0.9,SELL
2026-01-20,000859,12.7,12.26,0.71,-3.46,SELL
2026-01-21,002187,,8.79,-1.3,,
2026-01-21,000949,,7.61,-1.3,,
2026-01-21,002112,17.97,21.06,-1.3,27.43,
2026-01-21,300291,10.18,9.7,-1.3,-3.44,
2026-01-21,002181,10.27,11.61,-1.3,8.96,
2026-01-21,300129,15.94,15.04,-1.3,-5.65,SELL
2026-01-21,002173,29.68,28.41,-1.3,-4.28,SELL
2026-01-22,600676,,8.96,0.95,,
2026-01-22,600785,,22.1,0.95,,
2026-01-22,002112,17.97,21.78,0.95,17.2,
