sector,code,name,price_now,close_latest,pct_120d,pct_60d,trend,ma_order,dist_ma20_pct,dist_ma60_pct,bb_pos_pct,rsi14,atr_pct,vol_ratio,entry_low,entry_high,entry_aggressive,risk_level,risk_reasons,supports,entry_discount
AI服务器,000977,浪潮信息,65.66,65.66,46,46,震荡偏空,mixed,3.6,-0.5,66.9,52.4,4.73,0,64.63,63.69,59.37,低,极度缩量,MA20=63.36 | MA40=67.96 | MA60=66.01 | BB下轨=56.54,1.6
AI服务器,603019,中科曙光,88.68,88.68,49,49,震荡偏空,mixed,2.6,0.6,61.8,51.6,3.61,0,88.15,86.02,80.64,低,极度缩量,MA20=86.42 | MA40=90.70 | MA60=88.15 | BB下轨=76.80,0.6
AI服务器,002837,英维克,74.37,74.37,37.2,37.2,上升,mixed,4.7,0.2,67.2,57.1,5.34,0,72.44,72.14,64.36,高,极度缩量; 高波动,MA20=71.02 | MA40=74.17 | MA60=74.22 | BB下轨=61.30,2.6
AI服务器,002475,立讯精密,69.93,69.93,69.8,69.8,震荡偏空,mixed,-0.2,7.9,48.8,44.8,6.06,0,66.11,67.83,66.16,高,极度缩量; 高波动,MA20=70.10 | MA40=70.53 | MA60=64.82 | BB下轨=63.01,5.5
AI服务器,601138,工业富联,78.08,78.08,91.1,91.1,强上升,mixed,6.5,21,81.8,56.2,5.73,0,65.8,75.74,69.11,高,近120日高位; 极度缩量; 高波动,MA20=73.32 | MA40=69.78 | MA60=64.51 | BB下轨=65.82,15.7
AI服务器,000988,华工科技,177.55,177.55,100,100,强上升,bullish,12.2,32.2,102.1,67,5.57,0,136.94,172.22,146.81,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=158.30 | MA40=145.82 | MA60=134.26 | BB下轨=139.82,22.9
AI服务器,002281,光迅科技,266.2,266.2,100,100,上升,bullish,22.3,64.2,126.5,74.6,6.14,0,165.36,258.21,195.24,高,近120日高位; 远离MA20; RSI超买; 接近20日高点; 极度缩量; 高波动,MA20=217.68 | MA40=194.93 | MA60=162.12 | BB下轨=185.94,37.9
AI服务器,002851,麦格米特,179.5,179.5,100,100,上升,bullish,22.5,46.5,101.8,70.6,7.48,0,124.95,174.12,120.49,高,近120日高位; 远离MA20; RSI超买; 极度缩量; 高波动,MA20=146.55 | MA40=132.82 | MA60=122.50 | BB下轨=114.76,30.4
MLCC电子布树脂,603876,鼎胜新材,25.35,25.35,63,43.9,震荡偏空,mixed,-3.6,-2.3,31.6,45.6,6.57,0,25.43,24.59,24.89,高,极度缩量; 高波动,MA20=26.31 | MA40=27.40 | MA60=25.95 | BB下轨=23.71,-0.3
MLCC电子布树脂,002080,中材科技,80.55,80.55,96,95.7,强上升,mixed,17.2,40.6,94.7,59.7,6.76,0,58.42,78.13,58.27,高,近120日高位; 远离MA20; 极度缩量; 高波动,MA20=68.72 | MA40=64.22 | MA60=57.27 | BB下轨=55.50,27.5
