keyword,count_recent,count_prior,trend,stock_codes,stock_names,sectors
海南,3,0,🆕集中冒出,000571|603863|000566,新大洲A|海南海药|松炀资源,医疗医药|其他|大消费
减速器,2,0,🆕集中冒出,002921|002031,联诚精密|巨轮智能,机器人
职业服装,2,0,🆕集中冒出,002687,乔治白,大消费
拓展航空,2,0,🆕集中冒出,002687,乔治白,大消费
光纤材料,2,0,🆕集中冒出,605366,宏柏新材,光通信
正丙醇锆,2,0,🆕集中冒出,002584,西陇科学,氧化锆|有色金属
储能调频,2,0,🆕集中冒出,600379,宝光股份,半导体
医药中间体,2,0,🆕集中冒出,000691|002453,华软科技|*ST亚太,医疗医药|半导体
纳米硅,2,0,🆕集中冒出,605366,宏柏新材,光通信
拟收购磷化铟衬底业务,2,0,🆕集中冒出,002674,兴业科技,公告
电力设备,2,0,🆕集中冒出,600379,宝光股份,半导体
存储封测,2,0,🆕集中冒出,600584|000021,深科技|长电科技,半导体
四氯化硅(光纤上游,2,0,🆕集中冒出,603938|600596,新安股份|三孚股份,光通信
摘帽复牌,2,0,🆕集中冒出,600777|300506,ST名家汇|*ST新潮,公告|其他
服务等领域,2,0,🆕集中冒出,002687,乔治白,大消费
流感治疗,2,0,🆕集中冒出,000756|000566,新华制药|海南海药,医疗医药|公告
人工耳蜗,2,0,🆕集中冒出,000566,海南海药,医疗医药
生猪放量,1,0,🆕集中冒出,603717,天域生物,大消费
清洁机器人,1,0,🆕集中冒出,000967,盈峰环境,算力租赁
阿里灵光,1,0,🆕集中冒出,603106,恒银科技,大金融
火锅,1,0,🆕集中冒出,603317,天味食品,公告
激光雷达核心部件,1,0,🆕集中冒出,603297,永新光学,半导体
激光控制系统,1,0,🆕集中冒出,688291,金橙子,光通信
湖北省国资,1,0,🆕集中冒出,000783,长江证券,大金融
间接投资半导体公司,1,0,🆕集中冒出,603116,红蜻蜓,大消费
涤纶工业丝,1,0,🆕集中冒出,002427,尤夫股份,其他
燃料电池,1,0,🆕集中冒出,002921,联诚精密,机器人
牛散重仓,1,0,🆕集中冒出,603630,拉芳家化,大消费
生态环境,1,0,🆕集中冒出,603717,天域生物,大消费
玻纤织机,1,0,🆕集中冒出,002520,日发精机,PCB
防伪瓶盖,1,0,🆕集中冒出,002374,中锐股份,大消费
现金流持续回正,1,0,🆕集中冒出,600708,光明地产,地产
间接持股长鑫科技,1,0,🆕集中冒出,600909,华安证券,其他
间接持股华航直升机,1,0,🆕集中冒出,000042,中洲控股,地产
阿尔兹海默症,1,0,🆕集中冒出,000756,新华制药,公告
物联网,1,0,🆕集中冒出,920035,精创电气,数据中心散热
非甾体抗炎类原料药,1,0,🆕集中冒出,301211,亨迪药业,医疗医药
物业服务,1,0,🆕集中冒出,600743,华远控股,地产
雷鸟,1,0,🆕集中冒出,601011,宝泰隆,数据中心散热
谷歌液冷,1,0,🆕集中冒出,603757,大元泵业,数据中心散热
海洋装备,1,0,🆕集中冒出,300961,深水海纳,其他
高股息,1,0,🆕集中冒出,605377,华旺科技,大消费
高速互联芯片,1,0,🆕集中冒出,000925,众合科技,光通信
民爆,1,0,🆕集中冒出,002497,雅化集团,锂电池
高速光模块,1,0,🆕集中冒出,002025,航天电器,光通信
模拟,1,0,🆕集中冒出,600171,上海贝岭,半导体
核聚变电源,1,0,🆕集中冒出,603015,弘讯科技,半导体
核电模块,1,0,🆕集中冒出,605167,利柏特,公告
林木,1,0,🆕集中冒出,002240,盛新锂能,锂电池
高速铜缆连接,1,0,🆕集中冒出,301310,鑫宏业,机器人
机器人视觉,1,0,🆕集中冒出,002962,五方光电,半导体
机器人润滑油,1,0,🆕集中冒出,600506,统一股份,数据中心散热
高速铜缆连接线(戴尔,1,0,🆕集中冒出,605277,新亚电子,AI硬件
服饰,1,0,🆕集中冒出,600400,红豆股份,公告
高速高频线缆料,1,0,🆕集中冒出,605020,永和股份,美伊战争
高多层HDI,1,0,🆕集中冒出,603386,骏亚科技,PCB
水泥物料输送设备,1,0,🆕集中冒出,001225,和泰机电,其他
水泵,1,0,🆕集中冒出,603757,大元泵业,数据中心散热
海工装备,1,0,🆕集中冒出,002427,尤夫股份,其他
电子氟化液,1,0,🆕集中冒出,600506,统一股份,数据中心散热
海峡两岸双上市,1,0,🆕集中冒出,603122,合富中国,医疗医药
海外业务,1,0,🆕集中冒出,001225,和泰机电,其他
浮式生产储卸油装置,1,0,🆕集中冒出,605167,利柏特,公告
流感治疗(海南,1,0,🆕集中冒出,000566,海南海药,医疗医药
鞋类龙头,1,0,🆕集中冒出,603116,红蜻蜓,大消费
污水处理,1,0,🆕集中冒出,300961,深水海纳,其他
沐曦合作,1,0,🆕集中冒出,603106,恒银科技,大金融
驱动电机龙头,1,0,🆕集中冒出,002196,方正电机,机器人
高压组合电器,1,0,🆕集中冒出,002452,长高电新,其他
汽车结构件,1,0,🆕集中冒出,603210,泰鸿万立,其他
间接客户甲骨文,1,0,🆕集中冒出,605277,新亚电子,AI硬件
问询函澄清,1,0,🆕集中冒出,600400,红豆股份,公告
电子浸没冷却液,1,0,🆕集中冒出,605020,永和股份,美伊战争
酒店,1,0,🆕集中冒出,000691,*ST亚太,医疗医药
醋酸纤维素,1,0,🆕集中冒出,600793,宜宾纸业,大消费
航空航天结构件,1,0,🆕集中冒出,300665,飞鹿股份,公告
航天粉煤,1,0,🆕集中冒出,603698,航天工程,商业航天
航天一院,1,0,🆕集中冒出,603698,航天工程,商业航天
航天UHMWPE,1,0,🆕集中冒出,002427,尤夫股份,其他
