日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-01-27,1,002119,康强电子,24.71,68.8,+10.00%,+3.44%,+6.31%,+0.16%,+4.13%
2026-01-27,2,000738,航发控制,26.33,68.8,-2.05%,-3.57%,-7.22%,-10.71%,-1.79%
2026-01-27,3,603916,苏博特,13.55,53.9,-4.80%,+4.65%,-3.47%,-3.99%,-5.02%
2026-01-27,4,002291,遥望科技,8.28,53.9,-4.71%,-3.50%,-10.63%,-1.69%,+0.12%
2026-01-27,5,002796,世嘉科技,50.39,50.9,-1.17%,-7.72%,-11.49%,-12.58%,-10.04%
2026-01-28,1,000738,航发控制,25.79,68.8,-1.55%,-5.27%,-8.84%,+0.27%,+6.32%
2026-01-28,2,001376,百通能源,22.29,58.8,+10.00%,+6.46%,-0.94%,-4.49%,-7.13%
2026-01-28,3,603916,苏博特,12.9,53.9,+9.92%,+1.40%,+0.85%,-0.23%,-4.73%
2026-01-28,4,002291,遥望科技,7.89,53.9,+1.27%,-6.21%,+3.17%,+5.07%,+4.18%
2026-01-28,5,002796,世嘉科技,49.8,50.9,-6.63%,-10.44%,-11.55%,-8.98%,-13.86%
2026-01-29,1,600649,城投控股,5.61,68.8,-5.53%,-8.56%,-7.49%,-1.07%,+0.53%
2026-01-29,2,603001,奥康国际,10.44,68.8,-2.87%,-3.26%,-4.41%,-4.12%,-5.46%
2026-01-29,3,000738,航发控制,25.39,68.8,-3.78%,-7.40%,+1.85%,+8.00%,+10.00%
2026-01-29,4,002291,遥望科技,7.99,53.9,-7.38%,+1.88%,+3.75%,+2.88%,+13.14%
2026-01-29,5,002796,世嘉科技,46.5,50.9,-4.09%,-5.27%,-2.52%,-7.74%,-9.66%
2026-01-30,1,600330,天通股份,13.56,68.8,+3.24%,+13.57%,+24.93%,+17.99%,+14.31%
2026-01-30,2,600649,城投控股,5.3,68.8,-3.21%,-2.08%,+4.72%,+6.42%,+3.40%
2026-01-30,3,603001,奥康国际,10.14,68.8,-0.39%,-1.58%,-1.28%,-2.66%,-3.06%
2026-01-30,4,000738,航发控制,24.43,68.8,-3.77%,+5.85%,+12.24%,+14.33%,+8.88%
2026-01-30,5,002830,名雕股份,23.25,53.9,+10.02%,+21.03%,+33.12%,+19.83%,+31.83%
2026-02-02,1,002339,积成电子,11.99,78.4,+1.33%,+2.75%,-3.25%,+6.42%,+8.01%
2026-02-02,2,600330,天通股份,14.0,68.8,+10.00%,+21.00%,+14.29%,+10.71%,+21.79%
2026-02-02,3,002575,群兴玩具,7.92,68.8,+2.40%,-7.45%,+1.77%,-0.63%,+1.26%
2026-02-02,4,603001,奥康国际,10.1,68.8,-1.19%,-0.89%,-2.28%,-2.67%,-3.47%
2026-02-03,1,002339,积成电子,12.15,78.4,+1.40%,-4.53%,+5.02%,+6.58%,+4.03%
2026-02-03,2,003035,南网能源,7.44,68.8,+2.15%,-6.32%,-3.09%,-4.97%,-7.66%
2026-02-03,3,600330,天通股份,15.4,68.8,+10.00%,+3.90%,+0.65%,+10.71%,+11.56%
2026-02-03,4,002575,群兴玩具,8.11,68.8,-9.62%,-0.62%,-2.96%,-1.11%,+2.34%
2026-02-03,5,600649,城投控股,5.19,68.8,+6.94%,+8.67%,+5.59%,+5.39%,+2.50%
2026-02-04,1,002358,森源电气,7.72,81.0,-5.18%,-1.81%,+2.33%,-0.26%,+0.00%
2026-02-04,2,002339,积成电子,12.32,78.4,-5.84%,+3.57%,+5.11%,+2.60%,-0.32%
2026-02-04,3,601096,宏盛华源,6.19,70.0,-4.85%,-5.82%,-4.04%,-4.36%,-5.82%
2026-02-04,4,003035,南网能源,7.6,68.8,-8.29%,-5.13%,-6.97%,-9.61%,-12.89%
2026-02-04,5,002575,群兴玩具,7.33,68.8,+9.96%,+7.37%,+9.41%,+13.23%,+11.60%
2026-02-05,1,002358,森源电气,7.32,81.0,+3.55%,+7.92%,+5.19%,+5.46%,+13.11%
2026-02-05,2,000592,平潭发展,11.83,78.4,-1.78%,-3.04%,-6.17%,-8.37%,-11.58%
2026-02-05,3,002985,北摩高科,46.81,71.9,-5.85%,-7.61%,-6.11%,-8.48%,-6.43%
2026-02-05,4,601096,宏盛华源,5.89,70.0,-1.02%,+0.85%,+0.51%,-1.02%,+1.02%
2026-02-05,5,003035,南网能源,6.97,68.8,+3.44%,+1.43%,-1.43%,-5.02%,-1.58%
2026-02-06,1,002358,森源电气,7.58,81.0,+4.22%,+1.58%,+1.85%,+9.23%,+5.54%
