日期,排名,代码,名称,T日价,评分,T+1,T+2,T+3,T+4,T+5
2026-01-27,1,000738,航发控制,26.33,88.5,-2.05%,-3.57%,-7.22%,-10.71%,-1.79%
2026-01-27,2,002119,康强电子,24.71,88.5,+10.00%,+3.44%,+6.31%,+0.16%,+4.13%
2026-01-27,3,002796,世嘉科技,50.39,77.5,-1.17%,-7.72%,-11.49%,-12.58%,-10.04%
2026-01-27,4,603916,苏博特,13.55,67.0,-4.80%,+4.65%,-3.47%,-3.99%,-5.02%
2026-01-28,1,000738,航发控制,25.79,88.5,-1.55%,-5.27%,-8.84%,+0.27%,+6.32%
2026-01-28,2,001376,百通能源,22.29,80.2,+10.00%,+6.46%,-0.94%,-4.49%,-7.13%
2026-01-28,3,002796,世嘉科技,49.8,77.5,-6.63%,-10.44%,-11.55%,-8.98%,-13.86%
2026-01-28,4,603916,苏博特,12.9,67.0,+9.92%,+1.40%,+0.85%,-0.23%,-4.73%
2026-01-29,1,000738,航发控制,25.39,88.5,-3.78%,-7.40%,+1.85%,+8.00%,+10.00%
2026-01-29,2,603001,奥康国际,10.44,84.5,-2.87%,-3.26%,-4.41%,-4.12%,-5.46%
2026-01-29,3,002796,世嘉科技,46.5,77.5,-4.09%,-5.27%,-2.52%,-7.74%,-9.66%
2026-01-30,1,000738,航发控制,24.43,88.5,-3.77%,+5.85%,+12.24%,+14.33%,+8.88%
2026-01-30,2,600330,天通股份,13.56,84.5,+3.24%,+13.57%,+24.93%,+17.99%,+14.31%
2026-01-30,3,603001,奥康国际,10.14,84.5,-0.39%,-1.58%,-1.28%,-2.66%,-3.06%
2026-01-30,4,002796,世嘉科技,44.6,77.5,-1.23%,+1.64%,-3.81%,-5.81%,-5.16%
2026-01-30,5,002830,名雕股份,23.25,76.0,+10.02%,+21.03%,+33.12%,+19.83%,+31.83%
2026-02-02,1,002339,积成电子,11.99,84.5,+1.33%,+2.75%,-3.25%,+6.42%,+8.01%
2026-02-02,2,600330,天通股份,14.0,84.5,+10.00%,+21.00%,+14.29%,+10.71%,+21.79%
2026-02-02,3,603001,奥康国际,10.1,84.5,-1.19%,-0.89%,-2.28%,-2.67%,-3.47%
2026-02-03,1,000534,万泽股份,30.65,92.5,+1.21%,-2.58%,-5.22%,+3.36%,+8.65%
2026-02-03,2,002339,积成电子,12.15,84.5,+1.40%,-4.53%,+5.02%,+6.58%,+4.03%
2026-02-03,3,600330,天通股份,15.4,84.5,+10.00%,+3.90%,+0.65%,+10.71%,+11.56%
2026-02-03,4,603806,福斯特,18.55,78.2,+6.95%,-0.54%,-1.19%,+4.31%,+2.86%
2026-02-03,5,603612,索通发展,29.26,73.5,+4.51%,+4.78%,+8.44%,+4.51%,+3.86%
2026-02-04,1,000534,万泽股份,31.02,92.5,-3.74%,-6.35%,+2.13%,+7.35%,+3.93%
2026-02-04,2,002339,积成电子,12.32,84.5,-5.84%,+3.57%,+5.11%,+2.60%,-0.32%
2026-02-04,3,002623,亚玛顿,28.46,80.2,-5.62%,-1.09%,+8.82%,+9.98%,+14.09%
2026-02-04,4,600550,保变电气,16.28,79.5,-7.74%,-4.12%,-3.44%,-4.30%,-6.02%
2026-02-04,5,600053,*ST九鼎,25.8,76.5,-10.00%,-15.31%,-19.11%,-20.08%,-26.09%
2026-02-05,1,000534,万泽股份,29.86,88.5,-2.71%,+6.10%,+11.52%,+7.97%,+16.88%
2026-02-05,2,002985,北摩高科,46.81,87.5,-5.85%,-7.61%,-6.11%,-8.48%,-6.43%
2026-02-05,3,000592,平潭发展,11.83,84.5,-1.78%,-3.04%,-6.17%,-8.37%,-11.58%
2026-02-05,4,603920,世运电路,67.48,81.8,-2.87%,-3.01%,-4.34%,-5.59%,-6.27%
