code,name,industry,lu_count_5d,streak,keyword
603032,德新科技,专用机械,2,2,减速器
000601,韶能股份,水力发电,2,1,减速器
002896,中大力德,机械基件,2,1,减速器
000887,中鼎股份,汽车配件,1,1,减速器
002520,日发精机,机床制造,1,1,减速器
002527,新时达,电器仪表,1,1,减速器
002903,宇环数控,机床制造,1,1,减速器
920663,明阳科技,汽车配件,1,1,减速器
603011,合锻智能,专用机械,4,4,海工装备
600487,亨通光电,通信设备,3,2,海工装备
601869,长飞光纤,通信设备,3,2,海工装备
600869,远东股份,电气设备,2,1,海工装备
000039,中集集团,运输设备,1,1,海工装备
000530,冰山冷热,机械基件,1,1,海工装备
000533,顺钠股份,电气设备,1,1,海工装备
002314,南山控股,区域地产,1,1,海工装备
002353,杰瑞股份,化工机械,1,1,海工装备
300726,宏达电子,元器件,1,1,海工装备
600482,中国动力,船舶,1,1,海工装备
600522,中天科技,通信设备,1,1,海工装备
601126,四方股份,电气设备,1,1,海工装备
601798,蓝科高新,化工机械,1,1,海工装备
002579,中京电子,元器件,5,2,物联网
002137,实益达,元器件,2,2,物联网
002185,华天科技,半导体,2,2,物联网
002980,华盛昌,电器仪表,2,2,物联网
605358,立昂微,半导体,2,2,物联网
000725,京东方Ａ,元器件,2,1,物联网
002156,通富微电,半导体,2,1,物联网
000063,中兴通讯,通信设备,1,1,物联网
000733,振华科技,元器件,1,1,物联网
002590,万安科技,汽车配件,1,1,物联网
002766,索菱股份,汽车配件,1,1,物联网
002881,美格智能,元器件,1,1,物联网
002925,盈趣科技,元器件,1,1,物联网
300302,同有科技,IT设备,1,1,物联网
300710,万隆光电,通信设备,1,1,物联网
300897,山科智能,电器仪表,1,1,物联网
600198,大唐电信,通信设备,1,1,物联网
600584,长电科技,半导体,1,1,物联网
603083,剑桥科技,通信设备,1,1,物联网
605060,联德股份,机械基件,1,1,物联网
605288,凯迪股份,电气设备,1,1,物联网
920096,嘉晨智能,电器仪表,1,1,物联网
002806,华锋股份,汽车配件,4,2,燃料电池
002733,雄韬股份,电气设备,2,1,燃料电池
002971,和远气体,化工原料,2,1,燃料电池
600459,贵研铂业,小金属,2,1,燃料电池
002080,中材科技,玻璃,1,1,燃料电池
600114,东睦股份,机械基件,1,1,燃料电池
600378,昊华科技,化工原料,1,1,燃料电池
601208,东材科技,化工原料,1,1,燃料电池
603121,华培动力,汽车配件,1,1,燃料电池
603161,科华控股,汽车配件,1,1,燃料电池
603757,大元泵业,机械基件,1,1,燃料电池
603776,永安行,公共交通,1,1,燃料电池
000889,中嘉博创,通信设备,1,1,数字货币
002657,中科金财,软件服务,1,1,数字货币
600797,浙大网新,软件服务,1,1,数据安全
603232,格尔软件,软件服务,1,1,数据安全
688031,星环科技,软件服务,1,1,数据安全
920953,国子软件,软件服务,1,1,数据安全
603977,国泰集团,化工原料,1,1,民爆
301360,荣旗科技,专用机械,1,1,钙钛矿电池
603687,大胜达,广告包装,1,1,钙钛矿电池
603778,国晟科技,电气设备,1,1,钙钛矿电池
688378,奥来德,专用机械,1,1,钙钛矿电池
002627,三峡旅游,旅游景点,1,1,酒店
601888,中国中免,旅游服务,1,1,酒店
000718,苏宁环球,区域地产,1,1,医美
600246,万通发展,区域地产,3,2,卫星
001270,铖昌科技,半导体,1,1,卫星
002023,海特高新,航空,1,1,卫星
002436,兴森科技,元器件,1,1,卫星
300516,久之洋,电器仪表,1,1,卫星
603236,移远通信,通信设备,1,1,卫星
603439,三力制药,中成药,1,1,中药
000892,欢瑞世纪,影视音像,1,1,影视
300291,百纳千成,影视音像,1,1,影视
002181,粤 传 媒,出版业,2,1,彩票
002229,鸿博股份,广告包装,1,1,彩票
002235,安妮股份,造纸,1,1,彩票
600158,中体产业,文教休闲,1,1,彩票
