code,name,industry,lu_count_5d,streak,keyword
600172,黄河旋风,矿物制品,2,2,培育钻石
605580,恒盛能源,供气供热,2,2,培育钻石
000519,中兵红箭,专用机械,1,1,培育钻石
002046,国机精工,机械基件,1,1,培育钻石
300179,四方达,矿物制品,1,1,培育钻石
301071,力量钻石,矿物制品,1,1,培育钻石
603661,恒林股份,家居用品,1,1,培育钻石
000070,特发信息,通信设备,2,2,智能电网
600110,诺德股份,电气设备,2,2,智能电网
600192,长城电工,电气设备,2,2,智能电网
000682,东方电子,电气设备,1,1,智能电网
002546,新联电子,电气设备,1,1,智能电网
600379,宝光股份,电气设备,1,1,智能电网
600869,远东股份,电气设备,1,1,智能电网
601567,三星电气,电气设备,1,1,智能电网
603045,福达合金,小金属,1,1,智能电网
603861,白云电器,电气设备,1,1,智能电网
000545,金浦钛业,化工原料,1,1,钛白粉
002136,安 纳 达,化工原料,1,1,钛白粉
002386,天原股份,化工原料,1,1,钛白粉
002601,龙佰集团,化工原料,1,1,钛白粉
600727,鲁北化工,化工原料,1,1,钛白粉
603067,振华股份,化工原料,1,1,钛白粉
002734,利民股份,农药化肥,2,2,合成生物
600226,亨通股份,供气供热,2,1,合成生物
000813,德展健康,化学制药,1,1,合成生物
300401,花园生物,化学制药,1,1,合成生物
000551,创元科技,专用机械,1,1,减速器
001282,三联锻造,汽车配件,1,1,减速器
002031,巨轮智能,汽车配件,1,1,减速器
002921,联诚精密,汽车配件,1,1,减速器
300780,德恩精工,机械基件,1,1,减速器
600835,上海机电,运输设备,1,1,减速器
603166,福达股份,汽车配件,1,1,减速器
603757,大元泵业,机械基件,3,2,燃料电池
002080,中材科技,玻璃,2,2,燃料电池
688598,金博股份,矿物制品,2,2,燃料电池
000811,冰轮环境,工程机械,3,1,燃料电池
002971,和远气体,化工原料,2,1,燃料电池
600378,昊华科技,化工原料,2,1,燃料电池
002138,顺络电子,元器件,1,1,燃料电池
002158,汉钟精机,工程机械,1,1,燃料电池
002806,华锋股份,汽车配件,1,1,燃料电池
600459,贵研铂业,小金属,1,1,燃料电池
601208,东材科技,化工原料,1,1,燃料电池
002579,中京电子,元器件,2,2,物联网
002008,大族激光,专用机械,2,1,物联网
002047,宝鹰股份,装修装饰,2,1,物联网
600487,亨通光电,通信设备,2,1,物联网
603986,兆易创新,半导体,2,1,物联网
000725,京东方Ａ,元器件,1,1,物联网
000733,振华科技,元器件,1,1,物联网
002980,华盛昌,电器仪表,1,1,物联网
300166,东方国信,软件服务,1,1,物联网
300319,麦捷科技,元器件,1,1,物联网
300570,太辰光,通信设备,1,1,物联网
600171,上海贝岭,半导体,1,1,物联网
600584,长电科技,半导体,1,1,物联网
603015,弘讯科技,电气设备,1,1,物联网
603042,华脉科技,通信设备,1,1,物联网
603083,剑桥科技,通信设备,1,1,物联网
603660,苏州科达,IT设备,1,1,物联网
603956,威派格,专用机械,1,1,物联网
605178,时空科技,装修装饰,1,1,物联网
688766,普冉股份,半导体,1,1,物联网
000048,京基智农,农业综合,2,1,猪肉
002515,金字火腿,食品,1,1,猪肉
603717,天域生物,农业综合,1,1,猪肉
300085,银之杰,软件服务,2,2,数字货币
000889,中嘉博创,通信设备,1,1,数字货币
002657,中科金财,软件服务,1,1,数字货币
300386,飞天诚信,IT设备,1,1,数字货币
002972,科安达,运输设备,1,1,数据安全
603106,恒银科技,IT设备,1,1,数据安全
603496,恒为科技,IT设备,1,1,数据安全
603803,瑞斯康达,通信设备,1,1,数据安全
000783,长江证券,证券,2,2,期货
000060,中金岭南,铅锌,1,1,期货
000987,越秀资本,多元金融,1,1,期货
600030,中信证券,证券,1,1,期货
600500,中化国际,塑料,1,1,期货
601108,财通证券,证券,1,1,期货
601628,中国人寿,保险,1,1,期货
603093,南华期货,多元金融,1,1,期货
000721,西安饮食,酒店餐饮,1,1,酒店
002159,三特索道,旅游服务,1,1,酒店
001339,智微智能,IT设备,2,2,鸿蒙
002421,达实智能,软件服务,1,1,鸿蒙
300961,深水海纳,环境保护,1,1,鸿蒙
601519,大智慧,软件服务,1,1,鸿蒙
603313,梦百合,家居用品,1,1,鸿蒙
603607,京华激光,造纸,2,2,谷子经济
002354,天娱数科,互联网,2,1,谷子经济
000564,供销大集,百货,1,1,谷子经济
002161,远 望 谷,通信设备,1,1,谷子经济
603773,沃格光电,元器件,2,2,航天
688333,铂力特,机械基件,2,2,航天
002297,博云新材,航空,3,1,航天
600703,三安光电,半导体,2,1,航天
000032,深桑达Ａ,建筑工程,1,1,航天
000962,东方钽业,小金属,1,1,航天
002938,鹏鼎控股,元器件,1,1,航天
300943,春晖智控,机械基件,1,1,航天
300964,本川智能,元器件,1,1,航天
600345,长江通信,通信设备,1,1,航天
603011,合锻智能,专用机械,1,1,航天
688323,瑞华泰,塑料,1,1,航天
600400,红豆股份,服饰,2,2,保险
600392,盛和资源,小金属,3,1,保险
002653,海思科,化学制药,1,1,保险
002700,万憬能源,供气供热,1,1,保险
601678,滨化股份,化工原料,1,1,保险
002907,华森制药,中成药,1,1,中药
300485,赛升药业,生物制药,1,1,中药
301111,粤万年青,中成药,1,1,中药
600671,天目药业,中成药,1,1,中药
600881,亚泰集团,综合类,1,1,中药
605376,博迁新材,小金属,2,2,基金
002709,天赐材料,化工原料,1,1,基金
002859,洁美科技,元器件,1,1,基金
600105,永鼎股份,通信设备,1,1,基金
603863,松炀资源,造纸,1,1,彩票
002266,浙富控股,环境保护,1,1,影视
002449,国星光电,半导体,1,1,影视
600052,东望时代,供气供热,1,1,影视
