keyword,code,name,sector,matched_strategies,matched_count,is_startup,startup_label
培育钻石,000519,中兵红箭,培育钻石,无,0,True,✅ 启动阶段
培育钻石,300179,四方达,培育钻石,无,0,True,✅ 启动阶段
培育钻石,301071,力量钻石,培育钻石,无,0,True,✅ 启动阶段
海南,000571,新大洲A,其他,无,0,True,✅ 启动阶段
海南,000566,海南海药,医疗医药,无,0,True,✅ 启动阶段
海南,603863,松炀资源,大消费,无,0,True,✅ 启动阶段
AI金融,601519,大智慧,大金融,无,0,True,✅ 启动阶段
AI金融,603106,恒银科技,大金融,无,0,True,✅ 启动阶段
智能电网,000682,东方电子,电力,无,0,True,✅ 启动阶段
智能电网,002546,新联电子,电力,无,0,True,✅ 启动阶段
锂电级导电炭黑,002068,黑猫股份,被动元件,无,0,True,✅ 启动阶段
钛白粉,002601,龙佰集团,氧化锆,无,0,True,✅ 启动阶段
钛白粉,000545,金浦钛业,磷化工,无,0,True,✅ 启动阶段
金融信创,300561,汇金科技,大金融,无,0,True,✅ 启动阶段
金融信创,300085,银之杰,公告,无,0,True,✅ 启动阶段
空芯光纤(康宁,000070,特发信息,光通信,无,0,True,✅ 启动阶段
合成生物,300243,瑞丰高材,PCB,无,0,True,✅ 启动阶段
合成生物,300401,花园生物,PCB,无,0,True,✅ 启动阶段
减速器,002921,联诚精密,机器人,无,0,True,✅ 启动阶段
流感治疗,000756,新华制药,公告,无,0,True,✅ 启动阶段
流感治疗,000566,海南海药,医疗医药,无,0,True,✅ 启动阶段
磷酸铁,000545,金浦钛业,磷化工,无,0,True,✅ 启动阶段
磷酸铁,600096,云天化,磷化工,无,0,True,✅ 启动阶段
医药中间体,000691,*ST亚太,医疗医药,无,0,True,✅ 启动阶段
医药中间体,002453,华软科技,半导体,无,0,True,✅ 启动阶段
煤矿,002386,天原股份,锂电池,无,0,True,✅ 启动阶段
煤矿,601011,宝泰隆,数据中心散热,无,0,True,✅ 启动阶段
1.6T光模块,603083,剑桥科技,光通信,无,0,True,✅ 启动阶段
物业服务,600743,华远控股,地产,无,0,True,✅ 启动阶段
