======================================================================
  策略武器库 · 每日信号报告
  日期: 2026-06-23
======================================================================

【市场概况】
  全市场: 2985只 | 均涨幅 -0.16% | 上涨比 50%
  CSI1000: 8680 | 趋势: 上升 | 涨停: 93只

【涨停池】100 只 — 4条件(市值30-500亿/股价5-100/MA5>MA10/20日涨停2-4次)
  603669 灵康药业     涨幅+10.1% | 20日涨停2次 [涨停] | 化学制药
  002631 德尔未来     涨幅+10.0% | 20日涨停3次 [涨停] | 家居用品
  605167 利柏特      涨幅+10.0% | 20日涨停2次 [涨停] | 建筑工程
  603007 顺景科技     涨幅+10.0% | 20日涨停2次 [涨停] | 建筑工程
  001206 依依股份     涨幅+10.0% | 20日涨停2次 [涨停] | 造纸
  002549 凯美特气     涨幅+10.0% | 20日涨停2次 [涨停] | 环境保护
  600719 大连热电     涨幅+10.0% | 20日涨停2次 [涨停] | 供气供热
  002580 圣阳股份     涨幅+10.0% | 20日涨停2次 [涨停] | 电气设备
  002674 兴业科技     涨幅+10.0% | 20日涨停3次 [涨停] | 纺织
  603757 大元泵业     涨幅+10.0% | 20日涨停4次 [涨停] | 机械基件
  002068 黑猫股份     涨幅+10.0% | 20日涨停4次 [涨停] | 化工原料
  600707 彩虹股份     涨幅+10.0% | 20日涨停3次 [涨停] | 元器件
  605377 华旺科技     涨幅+10.0% | 20日涨停2次 [涨停] | 造纸
  000070 特发信息     涨幅+10.0% | 20日涨停3次 [涨停] | 通信设备
  600360 华微电子     涨幅+10.0% | 20日涨停3次 [涨停] | 半导体
  002584 西陇科学     涨幅+10.0% | 20日涨停2次 [涨停] | 化工原料
  605580 恒盛能源     涨幅+10.0% | 20日涨停4次 [涨停] | 供气供热
  600470 六国化工     涨幅+10.0% | 20日涨停3次 [涨停] | 农药化肥
  603318 水发燃气     涨幅+10.0% | 20日涨停3次 [涨停] | 供气供热
  002522 浙江众成     涨幅+10.0% | 20日涨停2次 [涨停] | 塑料
