factor,horizon,ic_mean,ic_std,icir,n_days
lu_streak,5d,0.06264367828908984,0.2703691298430956,0.23169685949518018,342
lu_count_5d,5d,-0.053365537355779764,0.24648121968786438,-0.21650954755644308,343
lu_count_20d,5d,-0.01887645832643435,0.2341596887061149,-0.08061361214963644,343
lu_count_60d,5d,-0.004191226149863598,0.21899426085399137,-0.01913852049601422,343
lu_max_streak_20d,5d,-0.050947767843998994,0.22376110432617582,-0.22768822131719818,343
lu_max_streak_60d,5d,-0.04226623986340237,0.22253588190840176,-0.1899299991576173,343
lu_days_since_last,5d,-0.008565510908975513,0.24973807489215866,-0.0342979776418724,343
lu_first_board,5d,0.055412693243784214,0.22545243938922405,0.2457844031047232,155
lu_is_second_board,5d,0.04385254140397762,0.2535783714356099,0.17293486489289528,233
lu_freq_accel,5d,-0.06647160255447225,0.2277644887219776,-0.2918435745952096,343
lu_seal_quality,5d,0.006917737628282663,0.29810746976246216,0.02320551589597822,11
lu_vol_intensity,5d,-0.19788982586041406,0.2935628895395047,-0.6740968729761193,50
lu_open_strength,5d,0.08200080348183737,0.35900149127704145,0.22841354555420873,50
lu_body_ratio,5d,-0.11514543525795334,0.32439244993949,-0.3549571985397065,26
lu_upper_shadow_ratio,5d,-0.03825350118538794,0.35918273948157003,-0.10650150182773681,6
lu_amplitude,5d,-0.12413678115810382,0.30635478874733996,-0.4052059432976031,50
lu_intraday_reversal,5d,0.03825350118538794,0.35918273948157003,0.10650150182773681,6
lu_volume_climax,5d,-0.1870230847583789,0.2953020545795193,-0.6333280851184091,50
lu_streak_quality,5d,0.06631581222131422,0.27036503198636963,0.24528250467189674,342
lu_turnover_intensity,5d,-0.1988508648214531,0.29426501768310487,-0.6757543468370962,50
lu_excess_return_5d,5d,-0.057126021037785746,0.3234200620225178,-0.1766310372972732,50
lu_relative_strength_20d,5d,-0.013581124757595335,0.29865227776350495,-0.04547470677035947,50
lu_is_yiziban,5d,0.08820293385676516,0.2884826960959819,0.305747745186834,183
lu_is_strong_board,5d,0.03625010148421196,0.24172408245550456,0.14996479091356035,336
lu_board_strength,5d,-0.084503588460127,0.3533342970500524,-0.2391604471052988,49
mfi_14,5d,-0.053704962113739145,0.23505722758450504,-0.22847611479817936,343
force_index,5d,-0.049260176680768965,0.24353449319374185,-0.20227186726103905,343
eom_14,5d,0.022856360589348524,0.23946240773189714,0.09544863766231974,343
vpt_divergence,5d,-0.00868059361231066,0.22261201907054787,-0.03899427195599757,343
money_flow_pressure,5d,-0.08692276687302324,0.23402547832505022,-0.37142437436786974,343
vol_ratio_5_20,5d,-0.1297178807075999,0.23619678054350732,-0.549194110136086,343
downside_vol_20,5d,0.011670575856550996,0.26081517296187484,0.0447465372662846,343
upside_vol_20,5d,-0.002783927749402659,0.2334168273621123,-0.011926851122364883,343
vol_asymmetry,5d,0.014743856726364014,0.2640042620858019,0.0558470405359298,343
vol_regime,5d,-0.008630226593922635,0.24542049601467675,-0.035165060514776754,343
ret_skew_20,5d,0.005480172735044604,0.25045172073588146,0.02188115425576901,343
ma_convergence,5d,0.07784475766676166,0.22735388538823878,0.34239466606797053,343
price_compactness,5d,0.04587369461142323,0.22777508731906265,0.20139908692983752,343
volume_breakout,5d,-0.06796762467981873,0.260579520428053,-0.2608325649236309,324
volume_contraction_signal,5d,0.06861979660543428,0.2806542641843379,0.24449939075347088,167
low_vol_streak,5d,0.09206807077117868,0.25008737277475784,0.3681436201663014,277
rsi_14,5d,-0.04107499068370634,0.25733756983886913,-0.15961521168255874,343
mom_20,5d,-0.02908437273942875,0.2501666953240978,-0.1162599709835442,343
rev_5,5d,0.05941384072425963,0.25858920490497644,0.22976148886838638,343
turnover_5,5d,-0.06476248931366316,0.25709891532118334,-0.2518971705219292,343
bb_position,5d,-0.03489773997676406,0.25418233122579564,-0.13729412193392643,343
atr_14,5d,0.033937613713584246,0.2456102284027034,0.13817671167155146,343
upper_shadow,5d,-0.03605754573410083,0.2479994967288102,-0.14539362462307776,343
rank_lu_streak,5d,0.06264367828908984,0.2703691298430956,0.23169685949518018,342
rank_lu_vol_intensity,5d,-0.08310188809103979,0.25996511849977316,-0.31966553270919806,342
rank_lu_seal_quality,5d,-0.06470895693772341,0.2595539953196638,-0.24930826766133415,342
rank_lu_amplitude,5d,-0.07976840982576049,0.26453246114235196,-0.3015448821717006,342
rank_lu_turnover_intensity,5d,-0.08327192118726355,0.2601831088996136,-0.32005121907968415,342
rank_lu_streak_quality,5d,0.06631581222131422,0.27036503198636963,0.24528250467189674,342
rank_lu_board_strength,5d,-0.06991812152237353,0.26686433730321274,-0.2619987452386048,342
rank_volume,5d,-0.05932177382231087,0.26092026039723354,-0.22735595055745178,343
rank_turnover,5d,-0.11062495889870448,0.26324850896827057,-0.42023014425520694,343
rank_close,5d,0.03421447630771126,0.25873324350120586,0.13223842380947,343
sector_ret_mean,5d,0.016026226952936443,0.24369390508033525,0.0657637578077847,343
sector_excess_ret,5d,0.06607156271559975,0.25691349451232537,0.25717435684340817,343
sector_rank_pct,5d,0.04600222488245283,0.2584748293183392,0.17797564661817109,343
is_sector_leader,5d,-0.03310259909924694,0.2584830022121184,-0.12806489717293681,236
ret_fwd_5d,5d,1.0,0.0,,343
ret_fwd_10d,5d,0.7383592116385638,0.12846279795594354,5.7476500853716805,338
ret_fwd_20d,5d,0.6044654318723638,0.1732933763488656,3.488104650090515,328
lu_streak,10d,0.01741825061710501,0.26866902724800423,0.06483162869766336,337
lu_count_5d,10d,-0.08077637163757899,0.24601329075718104,-0.32834149483942526,338
lu_count_20d,10d,-0.023985078537114134,0.23565064373020367,-0.10178235950237692,338
lu_count_60d,10d,0.00801815884291822,0.22325718111867343,0.035914449885740204,338
lu_max_streak_20d,10d,-0.06847917282707308,0.22058608036092606,-0.31044194953292836,338
lu_max_streak_60d,10d,-0.060658916239246165,0.2046107232667886,-0.29646010370704756,338
lu_days_since_last,10d,0.019721006786902917,0.25404899776896883,0.07762678443957935,338
lu_first_board,10d,0.045480153145478215,0.21148403377719135,0.21505241948143355,153
lu_is_second_board,10d,0.013331877072554567,0.2459834788951535,0.0541982621452275,229
lu_freq_accel,10d,-0.09081099967199108,0.2411789333445754,-0.3765295683692582,338
lu_seal_quality,10d,-0.04234196267664246,0.3024517871620604,-0.1399957430370702,10
lu_vol_intensity,10d,-0.18114107780974525,0.2451259034142764,-0.7389715867914897,49
lu_open_strength,10d,0.023364118812475156,0.31059992605153797,0.07522255111096948,49
lu_body_ratio,10d,0.07823720870712896,0.3375984646198587,0.23174634042019507,26
lu_upper_shadow_ratio,10d,0.11260465899432609,0.296571712490901,0.37968779304189665,6
lu_amplitude,10d,-0.08572744272276975,0.2795792125458849,-0.3066302460119421,49
lu_intraday_reversal,10d,-0.11260465899432609,0.296571712490901,-0.37968779304189665,6
lu_volume_climax,10d,-0.16604053209695466,0.2531238084196841,-0.6559656838824749,49
lu_streak_quality,10d,0.023519140763806425,0.26712559724045726,0.08804525289515892,337
lu_turnover_intensity,10d,-0.1811940860260188,0.24698616851219413,-0.7336203768717232,49
lu_excess_return_5d,10d,-0.08382875627773587,0.33473976353975915,-0.25042963343008695,49
lu_relative_strength_20d,10d,-0.03722735847585788,0.2947210588999923,-0.12631387324273372,49
lu_is_yiziban,10d,0.06447905865551751,0.2798534768085884,0.2304029215246066,181
lu_is_strong_board,10d,0.010636495321301587,0.24456967793319181,0.04349065432472426,331
lu_board_strength,10d,-0.012563123695394023,0.31817214670200544,-0.03948530324107983,48
mfi_14,10d,-0.0786351538435368,0.2347400222795265,-0.33498826949031596,338
force_index,10d,-0.0577657160653112,0.25274751760351194,-0.2285510718879897,338
eom_14,10d,0.027507748661594816,0.23792109140241288,0.11561710859450036,338
vpt_divergence,10d,-0.0019886995595497607,0.226075110677954,-0.008796632029001552,338
money_flow_pressure,10d,-0.08338770502241963,0.22752860740737427,-0.3664932773623481,338
vol_ratio_5_20,10d,-0.1597677626017707,0.23312321230310887,-0.6853361405900638,338
downside_vol_20,10d,0.0363082261867687,0.2542583258092889,0.1428005398493906,338
upside_vol_20,10d,0.015518085153712684,0.23399116419513952,0.06631910742053151,338
vol_asymmetry,10d,0.026462606219691227,0.26033587236553574,0.10164794417011909,338
vol_regime,10d,-0.0061415751144168595,0.2211409709140653,-0.02777221737352079,338
ret_skew_20,10d,0.00929839391377853,0.2357854375967547,0.03943582779561155,338
ma_convergence,10d,0.0850469368687992,0.21803451827654305,0.39006180095268367,338
price_compactness,10d,0.030660371868319606,0.21670516520340083,0.1414842689122873,338
volume_breakout,10d,-0.09283489680514484,0.25134606737496784,-0.36935090242191904,319
volume_contraction_signal,10d,0.06689852285858412,0.26723764999551697,0.25033344987020495,164
