数据日期,排名,股票代码,股票名称,评分,收盘价,近交易日涨跌幅(%)
2026-06-09,1,002421,达实智能,10.0,5.7,-0.52
2026-06-09,2,600367,红星发展,6.0,55.55,5.15
2026-06-09,3,600403,大有能源,6.0,8.06,-9.94
2026-06-09,4,001896,豫能控股,5.0,21.56,10.0
2026-06-09,5,002579,中京电子,5.0,16.74,-0.48
2026-06-09,6,002585,双星新材,5.0,12.2,10.01
2026-06-09,7,002613,北玻股份,5.0,5.19,-4.95
2026-06-09,8,002806,华锋股份,5.0,19.31,0.31
2026-06-09,9,002951,金时科技,5.0,18.08,-9.96
2026-06-09,10,603330,天洋新材,5.0,8.53,10.06
2026-06-09,11,603938,三孚股份,5.0,54.53,4.52
2026-06-09,12,688549,中巨芯,5.0,22.66,18.08
2026-06-09,13,000510,新金路,4.0,16.8,0.12
2026-06-09,14,000608,阳光股份,4.0,6.4,9.97
2026-06-09,15,002254,泰和新材,4.0,18.79,10.01
2026-06-09,16,002971,和远气体,4.0,43.59,9.99
2026-06-09,17,002995,天地在线,4.0,23.54,10.0
2026-06-09,18,300302,同有科技,4.0,48.8,0.7
2026-06-09,19,301013,利和兴,4.0,60.97,20.0
2026-06-09,20,600396,华电辽能,4.0,21.23,10.0
2026-06-09,21,600596,新安股份,4.0,14.94,10.01
2026-06-09,22,600936,北投科技,4.0,5.51,-1.25
2026-06-09,23,603011,合锻智能,4.0,29.0,-2.26
2026-06-09,24,603135,中重科技,4.0,15.8,2.4
2026-06-09,25,603303,得邦照明,4.0,29.37,10.0
2026-06-09,26,603311,金海高科,4.0,38.51,4.56
2026-06-09,27,603678,火炬电子,4.0,59.62,5.19
2026-06-09,28,603823,百合花,4.0,35.28,8.29
2026-06-09,29,603890,春秋电子,4.0,25.43,-9.57
2026-06-09,30,000670,盈方微,3.0,10.04,9.97
2026-06-09,31,001269,欧晶科技,3.0,28.41,9.99
2026-06-09,32,002051,中工国际,3.0,12.23,9.98
2026-06-09,33,002072,凯瑞德,3.0,8.72,1.28
2026-06-09,34,002137,实益达,3.0,10.79,9.99
2026-06-09,35,002515,金字火腿,3.0,7.36,10.01
2026-06-09,36,002645,华宏科技,3.0,32.8,4.36
2026-06-09,37,002733,雄韬股份,3.0,35.62,6.11
2026-06-09,38,002747,埃斯顿,3.0,37.53,9.99
2026-06-09,39,002787,华源控股,3.0,27.4,3.09
2026-06-09,40,002871,伟隆股份,3.0,21.58,9.99
2026-06-09,41,300179,四方达,3.0,44.8,-0.44
2026-06-09,42,300184,力源信息,3.0,16.62,6.27
2026-06-09,43,300626,华瑞股份,3.0,36.56,-11.26
2026-06-09,44,300657,弘信电子,3.0,46.03,3.79
2026-06-09,45,300907,康平科技,3.0,50.06,-0.58
2026-06-09,46,300975,商络电子,3.0,45.47,9.3
2026-06-09,47,301188,力诺药包,3.0,53.4,1.79
