date,rank,code,name,score,close,is_limit_up,is_limit_down
2026-01-05,1,002969,嘉美包装,10.0,13.7,False,False
2026-01-05,2,002361,神剑股份,9.0,13.7,False,False
2026-01-05,3,002931,锋龙股份,7.0,34.87,True,False
2026-01-05,4,002347,泰尔股份,6.0,13.14,False,False
2026-01-05,5,603278,大业股份,6.0,16.1,False,False
2026-01-06,1,001331,胜通能源,13.0,50.94,True,False
2026-01-06,2,002969,嘉美包装,11.0,15.07,True,False
2026-01-06,3,002361,神剑股份,9.0,14.46,False,False
2026-01-06,4,002931,锋龙股份,8.0,38.36,True,False
2026-01-06,5,002703,浙江世宝,7.0,23.96,True,False
2026-01-07,1,001331,胜通能源,13.0,56.03,True,False
2026-01-07,2,002931,锋龙股份,9.0,42.2,True,False
2026-01-07,3,002361,神剑股份,9.0,14.41,False,False
2026-01-07,4,002413,雷科防务,7.0,16.71,True,False
2026-01-07,5,002788,鹭燕医药,7.0,24.99,True,False
2026-01-08,1,001331,胜通能源,13.0,60.04,False,False
2026-01-08,2,002361,神剑股份,10.0,15.85,True,False
2026-01-08,3,002931,锋龙股份,10.0,46.42,True,False
2026-01-08,4,002788,鹭燕医药,8.0,27.49,True,False
2026-01-08,5,002792,通宇通讯,7.0,57.31,True,False
2026-01-09,1,001331,胜通能源,13.0,58.55,False,False
2026-01-09,2,002931,锋龙股份,11.0,51.06,True,False
2026-01-09,3,002361,神剑股份,10.0,15.6,False,False
2026-01-09,4,002788,鹭燕医药,8.0,26.82,False,False
2026-01-09,5,002792,通宇通讯,7.0,60.78,False,False
2026-01-12,1,002931,锋龙股份,11.0,56.17,True,False
2026-01-12,2,002969,嘉美包装,11.0,16.58,True,False
2026-01-12,3,002361,神剑股份,10.0,16.8,False,False
2026-01-12,4,001331,胜通能源,10.0,58.63,False,False
2026-01-12,5,002413,雷科防务,7.0,20.13,True,False
2026-01-13,1,002931,锋龙股份,12.0,61.79,True,False
2026-01-13,2,002969,嘉美包装,10.0,17.55,False,False
2026-01-13,3,002361,神剑股份,9.0,16.48,False,False
2026-01-13,4,001331,胜通能源,9.0,62.28,False,False
2026-01-13,5,002718,友邦吊顶,7.0,62.33,True,False
2026-01-14,1,002969,嘉美包装,10.0,19.31,True,False
2026-01-14,2,002361,神剑股份,9.0,18.12,True,False
2026-01-14,3,001331,胜通能源,8.0,58.26,False,False
2026-01-14,4,002519,银河电子,7.0,11.46,True,False
2026-01-14,5,003007,直真科技,7.0,59.73,True,False
2026-01-15,1,002969,嘉美包装,10.0,17.38,False,True
2026-01-15,2,002361,神剑股份,9.0,16.31,False,True
2026-01-15,3,002718,友邦吊顶,8.0,61.7,False,True
2026-01-15,4,001331,胜通能源,8.0,52.43,False,True
2026-01-15,5,002519,银河电子,7.0,10.31,False,True
2026-01-16,1,002969,嘉美包装,10.0,15.64,False,True
2026-01-16,2,002361,神剑股份,9.0,14.68,False,True
2026-01-16,3,002718,友邦吊顶,8.0,55.53,False,True
2026-01-16,4,001331,胜通能源,8.0,49.8,False,False
2026-01-16,5,002519,银河电子,7.0,9.28,False,True
2026-01-19,1,002718,友邦吊顶,8.0,61.08,True,False
2026-01-19,2,002969,嘉美包装,8.0,17.2,True,False
2026-01-19,3,002519,银河电子,7.0,8.35,False,True
2026-01-19,4,001255,博菲电气,6.0,49.69,False,True
2026-01-19,5,002361,神剑股份,6.0,13.21,False,True
2026-01-20,1,002969,嘉美包装,8.0,18.92,True,False
2026-01-20,2,002718,友邦吊顶,8.0,61.5,False,False
2026-01-20,3,300986,志特新材,7.0,33.8,True,False
2026-01-20,4,001255,博菲电气,6.0,44.72,False,True
2026-01-20,5,002465,海格通信,6.0,18.03,False,False
2026-01-21,1,002969,嘉美包装,7.0,19.41,False,False
2026-01-21,2,300986,志特新材,7.0,34.8,False,False
2026-01-21,3,001255,博菲电气,6.0,40.25,False,True
2026-01-21,4,002796,世嘉科技,5.0,47.81,True,False
2026-01-21,5,600676,交运股份,5.0,9.83,True,False
2026-01-22,1,002969,嘉美包装,8.0,21.35,True,False
2026-01-22,2,002718,友邦吊顶,8.0,62.98,False,False
2026-01-22,3,300986,志特新材,7.0,33.2,False,False
2026-01-22,4,001255,博菲电气,6.0,39.84,False,False
2026-01-22,5,002201,九鼎新材,5.0,13.86,True,False
2026-01-23,1,300986,志特新材,8.0,39.84,True,False
2026-01-23,2,002969,嘉美包装,8.0,23.17,False,False
2026-01-23,3,002112,三变科技,6.0,23.96,True,False
