分组名称,股票号码,股票名称,现价
电子特气,603938,三孚股份,53.82
电子特气,002409,雅克科技,150.16
电子特气,002971,和远气体,67.38
电子特气,600378,昊华科技,65.16
光通信,603083,剑桥科技,214.54
光通信,000988,华工科技,177.55
光通信,002281,光迅科技,266.2
光通信,600522,中天科技,56.55
光通信,600487,亨通光电,111.01
光通信,601869,长飞光纤,471.55
PCB产业链,002579,中京电子,20.32
PCB产业链,002741,光华科技,41.3
PCB产业链,600183,生益科技,183.87
PCB产业链,603186,华正新材,238.11
PCB产业链,603283,赛腾股份,62.6
PCB产业链,002463,沪电股份,147.9
PCB产业链,603228,景旺电子,81.06
PCB产业链,002916,深南电路,453.8
PCB产业链,002384,东山精密,273.0
PCB产业链,002938,鹏鼎控股,119.91
AI服务器,002851,麦格米特,179.5
AI服务器,002475,立讯精密,69.93
AI服务器,002837,英维克,74.37
AI服务器,000988,华工科技,177.55
AI服务器,002281,光迅科技,266.2
AI服务器,603019,中科曙光,88.68
AI服务器,000977,浪潮信息,65.66
AI服务器,601138,工业富联,78.08
MLCC电子布树脂,603876,鼎胜新材,25.35
MLCC电子布树脂,600110,诺德股份,17.57
MLCC电子布树脂,601208,东材科技,74.83
MLCC电子布树脂,605589,圣泉集团,69.82
MLCC电子布树脂,600176,中国巨石,53.5
MLCC电子布树脂,002080,中材科技,80.55
MLCC电子布树脂,603256,宏和科技,257.8
MLCC电子布树脂,000636,风华高科,74.6
半导体封装及设备,002119,康强电子,34.51
半导体封装及设备,002436,兴森科技,52.06
半导体封装及设备,600206,有研新材,42.51
半导体封装及设备,002409,雅克科技,150.16
半导体封装及设备,002371,北方华创,721.04
半导体封装及设备,000021,深科技,44.04
半导体封装及设备,002185,华天科技,19.61
半导体封装及设备,002156,通富微电,68.27
半导体封装及设备,600584,长电科技,83.03
有色金属,600259,中稀有色,116.28
有色金属,600111,北方稀土,51.4
有色金属,000878,云南铜业,18.66
有色金属,600362,江西铜业,53.31
有色金属,600549,厦门钨业,85.91
有色金属,002378,章源钨业,37.11
有色金属,603993,洛阳钼业,20.04
有色金属,601958,金钼股份,27.7
有色金属,002428,云南锗业,100.44
有色金属,600497,驰宏锌锗,10.28
有色金属,000657,中钨高新,98.48
碳化硅功率半导体,002171,楚江新材,15.38
碳化硅功率半导体,600703,三安光电,17.54
碳化硅功率半导体,002617,露笑科技,9.0
碳化硅功率半导体,600460,士兰微,41.83
碳化硅功率半导体,603290,斯达半导,130.9
玻璃基板,000012,南玻A,4.3
玻璃基板,600876,凯盛新能,9.93
玻璃基板,600707,彩虹股份,11.71
玻璃基板,600552,凯盛科技,23.32
机器人,002896,中大力德,82.3
机器人,002747,埃斯顿,36.5
机器人,002527,新时达,14.65
机器人,002472,双环传动,43.78
机器人,002050,三花智控,45.74
机器人,601689,拓普集团,62.3
存储,603986，兆易创新，629.00
